,Player,Market value,Nation,Pos
0,Kylian Mbappé,€180.00m,FRA,FW
1,Raheem Sterling,€128.00m,ENG,FW
2,Neymar,€128.00m,BRA,MF
3,Sadio Mané,€120.00m,SEN,FW
4,Mohamed Salah,€120.00m,EGY,FW
5,Harry Kane,€120.00m,ENG,FW
6,Kevin De Bruyne,€120.00m,BEL,MF
7,Jadon Sancho,€117.00m,ENG,MF
8,Lionel Messi,€112.00m,ARG,FW
9,Trent Alexander-Arnold,€99.00m,ENG,DF
10,Antoine Griezmann,€96.00m,FRA,FW
11,João Félix,€81.00m,POR,MF
12,Kai Havertz,€81.00m,GER,MF
13,Bernardo Silva,€80.00m,POR,MF
14,N'Golo Kanté,€80.00m,FRA,MF
15,Leroy Sané,€80.00m,,
16,Virgil van Dijk,€80.00m,NED,DF
17,Paul Pogba,€80.00m,FRA,MF
18,Jan Oblak,€80.00m,,
19,Eden Hazard,€80.00m,BEL,MF
20,Joshua Kimmich,€75.00m,GER,MF
21,Erling Haaland,€72.00m,,
22,Frenkie de Jong,€72.00m,NED,MF
23,Paulo Dybala,€72.00m,ARG,MF
24,Serge Gnabry,€72.00m,GER,MF
25,Saúl Ñíguez,€72.00m,ESP,MF
26,Roberto Firmino,€72.00m,BRA,FW
27,Alisson,€72.00m,,
28,Marc-André ter Stegen,€72.00m,,
29,Romelu Lukaku,€68.00m,BEL,FW
30,Christian Eriksen,€68.00m,DEN,MF
31,Christian Eriksen,€68.00m,DEN,MF
32,Matthijs de Ligt,€67.50m,,
33,David Alaba,€65.00m,AUT,DF
34,Lautaro Martínez,€64.00m,ARG,FW
35,Rodri,€64.00m,ESP,MF
36,Sergej Milinkovic-Savic,€64.00m,,
37,Marcus Rashford,€64.00m,ENG,FW
38,Andrew Robertson,€64.00m,SCO,DF
39,Dele Alli,€64.00m,ENG,MF
40,Timo Werner,€64.00m,GER,FW
41,Raphaël Varane,€64.00m,FRA,DF
42,Heung-min Son,€64.00m,,
43,Casemiro,€64.00m,BRA,MF
44,Alphonso Davies,€60.00m,CAN,DF
45,Aymeric Laporte,€60.00m,,
46,Marco Verratti,€60.00m,,
47,Mauro Icardi,€60.00m,ARG,FW
48,Cristiano Ronaldo,€60.00m,POR,FW
49,Gabriel Jesus,€56.00m,BRA,FW
50,Arthur,€56.00m,,
51,Ousmane Dembélé,€56.00m,FRA,FW
52,Lucas Hernández,€56.00m,FRA,DF
53,José Giménez,€56.00m,,
54,Ederson,€56.00m,,
55,Fabinho,€56.00m,BRA,MF
56,Harry Maguire,€56.00m,ENG,DF
57,Kalidou Koulibaly,€56.00m,SEN,DF
58,Philippe Coutinho,€56.00m,BRA,MF
59,Pierre-Emerick Aubameyang,€56.00m,GAB,FW
60,Robert Lewandowski,€56.00m,POL,FW
61,Achraf Hakimi,€54.00m,MAR,WB
62,Federico Valverde,€54.00m,URU,MF
63,Christian Pulisic,€54.00m,USA,FW
64,Tanguy Ndombélé,€52.00m,,
65,Richarlison,€52.00m,BRA,FW
66,Nicolas Pépé,€52.00m,CIV,FW
67,Marquinhos,€52.00m,BRA,MF
68,Jorginho,€52.00m,ITA,MF
69,Miralem Pjanic,€52.00m,,
70,Sergio Agüero,€52.00m,ARG,FW
71,Leon Goretzka,€50.00m,GER,MF
72,Houssem Aouar,€49.50m,FRA,MF
73,Declan Rice,€49.50m,ENG,MF
74,Gianluigi Donnarumma,€49.50m,,
75,Mikel Oyarzabal,€48.00m,ESP,MF
76,Fabián Ruiz,€48.00m,,
77,Davinson Sánchez,€48.00m,COL,DF
78,Federico Chiesa,€48.00m,ITA,FW
79,James Maddison,€48.00m,ENG,MF
80,Bruno Fernandes,€48.00m,POR,MF
81,Milan Skriniar,€48.00m,,
82,Clément Lenglet,€48.00m,FRA,DF
83,Anthony Martial,€48.00m,FRA,FW
84,Riyad Mahrez,€48.00m,ALG,FW
85,Niklas Süle,€48.00m,GER,DF
86,Marcelo Brozovic,€48.00m,,
87,Lorenzo Insigne,€48.00m,ITA,MF
88,Stefan de Vrij,€48.00m,NED,DF
89,Thibaut Courtois,€48.00m,,
90,Alexandre Lacazette,€48.00m,FRA,FW
91,Koke,€48.00m,ESP,MF
92,Thiago,€48.00m,,
93,Toni Kroos,€48.00m,GER,MF
94,Rodrygo,€45.00m,BRA,FW
95,Ferran Torres,€45.00m,,
96,Nicolo Zaniolo,€45.00m,ITA,MF
97,Vinicius Junior,€45.00m,,
98,Dayot Upamecano,€45.00m,FRA,DF
99,Martin Ödegaard,€45.00m,,
100,Donny van de Beek,€44.00m,,
101,Youri Tielemans,€44.00m,BEL,MF
102,Youri Tielemans,€44.00m,BEL,MF
103,Memphis Depay,€44.00m,NED,MF
104,Wilfried Zaha,€44.00m,CIV,MF
105,Luis Alberto,€44.00m,ESP,MF
106,Mattéo Guendouzi,€40.50m,FRA,MF
107,Ibrahima Konaté,€40.50m,,
108,Mason Mount,€40.50m,ENG,MF
109,Carlos Soler,€40.00m,ESP,MF
110,Rodrigo Bentancur,€40.00m,URU,MF
111,Benjamin Pavard,€40.00m,FRA,DF
112,Giovani Lo Celso,€40.00m,ARG,MF
113,Giovani Lo Celso,€40.00m,ARG,MF
114,Denis Zakaria,€40.00m,SUI,MF
115,Tammy Abraham,€40.00m,ENG,FW
116,Ben Chilwell,€40.00m,ENG,DF
117,Iñaki Williams,€40.00m,ESP,FW
118,Kingsley Coman,€40.00m,FRA,MF
119,Thomas,€40.00m,,
120,Moussa Dembélé,€40.00m,FRA,FW
121,Rúben Neves,€40.00m,POR,MF
122,José Gayà,€40.00m,,
123,Hakim Ziyech,€40.00m,,
124,Raúl Jiménez,€40.00m,MEX,FW
125,Julian Brandt,€40.00m,GER,MF
126,Wissam Ben Yedder,€40.00m,FRA,FW
127,Daniel Carvajal,€40.00m,,
128,Rodrigo,€40.00m,ESP,FW
129,Ciro Immobile,€40.00m,ITA,FW
130,Kyle Walker,€40.00m,ENG,DF
